index,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills
661,Rishabh,rishabh@xyz.com,1,Artificial Intelligence,Attending,"Priyadarshini college of engineering, Nagpur ",Email | Others,,Students,2023,Bhandara,6.7,7,0-2 Lakh,5,yes
663,Raj,raj@xyz.com,1,Artificial Intelligence,Attending,Late G. N. Sapkal College Of Engineering,Others,,Students,2023,Buldhana,6.5,7,0-2 Lakh,8,no
665,Deepak,deepak@xyz.com,1,Artificial Intelligence,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Navi Mumbai,7.3,4,0-2 Lakh,24,no 
666,Shilpa,shilpa@xyz.com,1,Artificial Intelligence,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Others,,Students,2024,Mumbai,8.6,4,0-2 Lakh,17,no 
670,Vaibhav,vaibhav@xyz.com,1,Artificial Intelligence,Attending,st.francis institute of technology,Email,,Students,2023,Amritsar,9.9,7,0-2 Lakh,21,no
671,Payal ,payal@xyz.com,1,Artificial Intelligence,Attending,new horizon institute of technology and management ,Whatsapp,,Students,2024,Patiala,8.1,3,0-2 Lakh,8,no
672,Rahul,rahul@xyz.com,1,Artificial Intelligence,Attending,late g. n. sapkal college of engineering,Others,,Students,2023,Sangrur,9.5,7,0-2 Lakh,23,yes
673,Sandeep,sandeep@xyz.com,1,Artificial Intelligence,Attending,"symbiosis institute of technology, pune",Email,,Students,2024,Ajmer,9.8,4,0-2 Lakh,25,no
674,Darshan ,darshan@xyz.com,1,Artificial Intelligence,Attending,a. c. patil college of engineering,LinkedIn,,Students,2023,Barmer,9.6,5,0-2 Lakh,30,no
676,Prathamesh,prathamesh@xyz.com,1,Artificial Intelligence,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp | Cloud Counselage Website,,Students,2024,Jaipur,9.1,5,0-2 Lakh,8,no
678,Mohini,mohini@xyz.com,1,Artificial Intelligence,Attending,government polytechnic gandhinagar,Whatsapp | Email,,Students,2023,Kota,8.4,5,0-2 Lakh,18,no 
679,Abhishek,abhishek@xyz.com,1,Artificial Intelligence,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Email,,Students,2024,Ahemdabad,6.7,4,0-2 Lakh,8,no
680,Mayuri,mayuri@xyz.com,1,Artificial Intelligence,Attending,silicon institute of technology,Facebook,,Students,2024,Amreli,7.6,3,0-2 Lakh,8,no
681,Sneha,sneha@xyz.com,1,Artificial Intelligence,Attending,adhiyamaan college of engineering,LinkedIn | Whatsapp,,Students,2023,Dwarka,8.3,3,0-2 Lakh,8,no
682,Pranav,pranav@xyz.com,1,Artificial Intelligence,Attending,don bosco college of engineering fatorda goa,Email,,Students,2023,Godhra,6.3,5,0-2 Lakh,6,yes
685,sagar,sagar@xyz.com,1,Artificial Intelligence,Attending,"vidyalankar institute of technology, mumbai",Email,,Students,2024,Kheda,8.5,3,0-2 Lakh,8,no
687,Mohammed,mohammed@xyz.com,1,Artificial Intelligence,Attending,"vidyalankar institute of technology, mumbai",Email,,Students,2024,Navsari,7.9,3,0-2 Lakh,6,yes
690,Rutika,rutika@xyz.com,1,Hello ML and DL,Attending,st xavier's college ,Email,,Students,2023,Chandigarh,9.9,5,0-2 Lakh,8,no
691,Abhishek,abhishek@xyz.com,1,Hello ML and DL,Attending,,Whatsapp,,Students,2024,Kunrool,7.9,4,0-2 Lakh,20,no
692,Varsha,varsha@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,Whatsapp,,Students,2023,Tirupati,7.7,7,0-2 Lakh,5,yes
693,Kartik,kartik@xyz.com,1,Hello ML and DL,Attending,wilson college ,Whatsapp,,Students,2023,Vijaywada,7.4,4,0-2 Lakh,7,no
696,Himanshu,himanshu@xyz.com,1,Hello ML and DL,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Tezpur,9.5,5,0-2 Lakh,9,no
697,Sahil ,sahil@xyz.com,1,Hello ML and DL,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2024,Sivasagar,6.9,4,0-2 Lakh,13,yes
698,Himanshu,himanshu@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Others,,Students,2023,Dehri,6.9,5,0-2 Lakh,14,no 
699,Rishabh,rishabh@xyz.com,1,Hello ML and DL,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,,Students,2023,Chapra,7.2,5,0-2 Lakh,12,no 
700,Avinash,avinash@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2024,Darbhanga,7.5,5,0-2 Lakh,5,yes
701,Sachin,sachin@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Whatsapp,,Students,2023,Gaya,6.5,4,0-2 Lakh,20,yes
702,Ujwal,ujwal@xyz.com,1,Hello ML and DL,Attending,new horizon institute of technology and management ,Whatsapp,,Students,2024,Haijipur,7.5,4,0-2 Lakh,20,no
704,Neeraj,neeraj@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,Whatsapp | Others,,Students,2024,Munger,7.3,7,0-2 Lakh,8,no
707,Ayushi,ayushi@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2024,Bhilai,6.5,7,0-2 Lakh,5,no 
709,Akshay,akshay@xyz.com,1,Hello ML and DL,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Whatsapp,,Students,2024,Daman,8.1,5,0-2 Lakh,9,yes
711,Sahil,sahil@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,,Students,2024,Silvassa,9.3,5,0-2 Lakh,5,no
712,Rutika,rutika@xyz.com,1,Hello ML and DL,Attending,adhiyamaan college of engineering,Whatsapp,,Students,2023,Panji,7.8,4,0-2 Lakh,18,no
714,Khushi,khushi@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Email,,Students,2024,Dwarka,8.3,7,0-2 Lakh,9,no
715,Aishwarya,aishwarya@xyz.com,1,Hello ML and DL,Attending,wilson college ,Email,,Students,2023,Jamnagar,8.6,4,0-2 Lakh,17,yes
717,Ashwini,ashwini@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,,Students,2024,Morbi,7.7,3,0-2 Lakh,15,yes
719,Apoorva ,apoorva@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Others,,Students,2024,Rajkot,7.3,5,0-2 Lakh,23,no
720,Jay,jay@xyz.com,1,Hello ML and DL,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp | Email,,Students,2023,Surat,7.3,5,0-2 Lakh,8,yes
723,Nancy,nancy@xyz.com,1,Hello ML and DL,Attending,"mit academy of engineering ,alandi",Whatsapp,,Students,2023,Hisar,8.1,7,0-2 Lakh,22,yes
725,Elbert,elbert@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",LinkedIn,,Students,2024,Karnal,8.3,3,0-2 Lakh,20,no 
728,Liza,liza@xyz.com,1,Hello ML and DL,Attending,wilson college ,Whatsapp,,Students,2023,Sirsa,9.4,7,0-2 Lakh,24,no
729,Charles,charles@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2024,Sonipat,6.8,7,0-2 Lakh,11,no
732,Beverly,beverly@xyz.com,1,Hello ML and DL,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2023,Doda,9.6,3,0-2 Lakh,9,no 
733,Francis,francis@xyz.com,1,Hello ML and DL,Attending,st xavier's college ,Whatsapp,,Students,2024,Gulmarg,7.5,3,0-2 Lakh,8,yes
735,Daniel,daniel@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Email,,Students,2023,Punch,9.3,5,0-2 Lakh,21,no
737,Jose,jose@xyz.com,1,Hello ML and DL,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,,Students,2024,Srinagar,9.1,7,0-2 Lakh,16,no
740,Nathan,nathan@xyz.com,1,Hello ML and DL,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2023,Bengaluru,8.0,3,0-2 Lakh,20,no
741,Susan,susan@xyz.com,1,Hello ML and DL,Attending,st xavier's college ,Whatsapp,,Students,2024,Belgavi,7.2,7,0-2 Lakh,9,no
742,Elizabeth,elizabeth@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,,Students,2024,Bidar,9.1,3,0-2 Lakh,13,no
743,Leonard,leonard@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",LinkedIn | Email,,Students,2023,Kolar,7.1,7,0-2 Lakh,17,yes
745,Anne,anne@xyz.com,1,Hello ML and DL,Attending,"kle society's college of bca, rls institute, belagavi",Email,,Students,2023,Kochi,9.5,4,0-2 Lakh,21,no 
746,Austin,austin@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Others,,Students,2024,Thrissur,7.9,4,0-2 Lakh,9,yes
747,Irene,irene@xyz.com,1,Hello ML and DL,Attending,"symbiosis institute of technology, pune",Whatsapp,,Students,2023,Indore,7.8,3,0-2 Lakh,25,no
748,Kamala,kamala@xyz.com,1,Hello ML and DL,Attending,"mit academy of engineering ,alandi",Whatsapp,,Students,2023,Guna,9.1,3,0-2 Lakh,21,yes
749,Gina,gina@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,Whatsapp,,Students,2024,Gwalior,6.9,7,0-2 Lakh,30,no
752,George,george@xyz.com,1,Hello ML and DL,Attending,dkte society's textile and engineering institute ichalkaranji,Email,,Students,2024,Sagar,9.2,7,0-2 Lakh,19,no
753,Cynthia,cynthia@xyz.com,1,Hello ML and DL,Attending,"thakur institute of management studies, career development & research - [timscdr]",Whatsapp,,Students,2023,Satna,7.3,7,0-2 Lakh,21,no
755,Martha,martha@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Vidisha,9.9,5,0-2 Lakh,18,yes
756,Joan,joan@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,,Students,2024,Akola,7.6,7,0-2 Lakh,9,no 
758,Lester,lester@xyz.com,1,Hello ML and DL,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2023,Bid,6.6,5,0-2 Lakh,8,no
759,Andrea,andrea@xyz.com,1,Hello ML and DL,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2023,Buldhana,7.8,7,0-2 Lakh,8,no
760,Evelyn,evelyn@xyz.com,1,Hello ML and DL,Attending,st xavier's college ,Youtube | Whatsapp | Email,,Students,2024,Dhule,8.7,4,0-2 Lakh,9,no
762,Anthony,anthony@xyz.com,1,Hello ML and DL,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Youtube,,Students,2024,Kalyan,7.1,4,0-2 Lakh,17,no
763,Grant,grant@xyz.com,1,Hello ML and DL,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2023,Navi Mumbai,8.5,5,0-2 Lakh,11,no
765,Peggy,peggy@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",LinkedIn,,Students,2024,Nagpur,9.1,4,0-2 Lakh,19,no
766,Christopher,christopher@xyz.com,1,Hello ML and DL,Attending,"kle society's college of bca, rls institute, belagavi",Email,,Students,2023,Nanded,9.7,3,0-2 Lakh,18,yes
767,Ron,ron@xyz.com,1,Hello ML and DL,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Kolhapur,8.7,7,0-2 Lakh,12,yes
769,Jack,jack@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,,Students,2023,Matheran,8.8,4,0-2 Lakh,8,no 
771,Bobby,bobby@xyz.com,1,Hello ML and DL,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,,Students,2024,Pune,7.6,4,0-2 Lakh,7,yes
772,Edmund,edmund@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Whatsapp,,Students,2024,Satara,8.7,7,0-2 Lakh,19,no
773,Jennie,jennie@xyz.com,1,Hello ML and DL,Attending,new horizon institute of technology and management ,Whatsapp,,Students,2023,Sangli,9.1,3,0-2 Lakh,25,no
774,Edward,edward@xyz.com,1,Hello ML and DL,Attending,late g. n. sapkal college of engineering,Whatsapp,,Students,2023,Sangola,9.2,4,0-2 Lakh,22,yes
776,Felipe,felipe@xyz.com,1,Hello ML and DL,Attending,wilson college ,Whatsapp,,Students,2024,Shillong,8.3,5,0-2 Lakh,15,no
778,John,john@xyz.com,1,Hello ML and DL,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,,Students,2023,konark,9.9,7,0-2 Lakh,19,yes
779,Chelsey,chelsey@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2023,Cuttack,9.3,7,0-2 Lakh,26,yes
781,Joe,joe@xyz.com,1,Hello ML and DL,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2024,Mahe,7.5,4,0-2 Lakh,12,no 
784,Javier,javier@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Ajmer,7.4,5,0-2 Lakh,15,no
785,Martin,martin@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Email | Others,,Students,2024,Amer,6.7,3,0-2 Lakh,12,no
786,Curtis,curtis@xyz.com,1,Hello ML and DL,Attending,new horizon institute of technology and management ,Whatsapp,,Students,2024,Barmer,7.3,7,0-2 Lakh,20,yes
789,Marcus,marcus@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,LinkedIn,,Students,2023,Jhalwar,7.1,7,0-2 Lakh,8,no
791,Lloyd,lloyd@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Cloud Counselage Website,,Students,2024,Kota,8.7,7,0-2 Lakh,21,yes
792,Lesley,lesley@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",LinkedIn,,Students,2023,Sikar,6.8,4,0-2 Lakh,16,no 
793,Lawrence,lawrence@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Email,,Students,2023,Gangtok,7.1,7,0-2 Lakh,21,no 
797,Cherrie,cherrie@xyz.com,1,Hello ML and DL,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2024,Agra,6.7,5,0-2 Lakh,9,no
798,Belinda,belinda@xyz.com,1,Hello ML and DL,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2024,Aligarh,6.7,7,0-2 Lakh,13,no
799,Rebecca,rebecca@xyz.com,1,Hello ML and DL,Attending,st xavier's college ,Whatsapp,,Students,2023,Gonda,8.2,4,0-2 Lakh,24,yes
800,Mario,mario@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Cloud Counselage Website,,Students,2023,Ghazipur,6.5,3,0-2 Lakh,17,no
802,Frank,frank@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Cloud Counselage Website,,Students,2024,Gonda,9.1,5,0-2 Lakh,21,no
803,Theresa,theresa@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Whatsapp,,Students,2024,Gorakhpur,8.9,5,0-2 Lakh,8,no
805,Betty,betty@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Others,,Students,2023,Deoria,7.3,5,0-2 Lakh,8,yes
806,Adam,adam@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Others,,Students,2023,Budaun,8.6,4,0-2 Lakh,7,yes
809,Angel,angel@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,LinkedIn,,Students,2023,Mainpuri,8.1,7,0-2 Lakh,8,no
811,Lauren,lauren@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Youtube,,Students,2023,Almora,9.8,7,0-2 Lakh,21,no
812,Howard,howard@xyz.com,1,Hello ML and DL,Attending,"thakur institute of management studies, career development & research - [timscdr]",Cloud Counselage Website,,Students,2024,Haora,9.6,3,0-2 Lakh,18,no
814,Mary,mary@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Hugli,9.1,5,0-2 Lakh,8,no
815,Linda,linda@xyz.com,1,Hello ML and DL,Attending,silicon institute of technology,Cloud Counselage Website | Others,,Students,2023,Palashi,6.8,3,0-2 Lakh,8,yes
816,Elmer,elmer@xyz.com,1,Hello ML and DL,Attending,adhiyamaan college of engineering,Whatsapp,,Students,2024,Santipur,8.4,5,0-2 Lakh,6,yes
818,Diane,diane@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Cloud Counselage Website,,Students,2024,Talmuk,7.6,4,0-2 Lakh,5,yes
820,Janna,janna@xyz.com,1,Hello ML and DL,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Siuri,6.3,5,0-2 Lakh,6,no
821,Harry,harry@xyz.com,1,Hello ML and DL,Attending,government polytechnic gandhinagar,Cloud Counselage Website,,Students,2023,Titagrah,8.9,4,0-2 Lakh,7,no
822,Erica,erica@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp | Cloud Counselage Website,,Students,2023,Orchha,9.5,5,0-2 Lakh,7,yes
824,Zachary,zachary@xyz.com,1,Hello ML and DL,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Ujjain,8.8,4,0-2 Lakh,6,no
825,Thomas,thomas@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,,Students,2023,Akola,7.5,7,0-2 Lakh,11,no
826,Barbara,barbara@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Others,,Students,2023,Aurangabad,8.3,4,0-2 Lakh,20,yes
828,Valerie,valerie@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Others,,Students,2024,Bhsawal,7.5,7,0-2 Lakh,7,no 
829,Julie,julie@xyz.com,1,Hello ML and DL,Attending,new horizon institute of technology and management ,Whatsapp,,Students,2024,Buldhana,9.9,7,0-2 Lakh,24,yes
830,James,james@xyz.com,1,Hello ML and DL,Attending,late g. n. sapkal college of engineering,Email,,Students,2023,Dhule,7.6,5,0-2 Lakh,8,yes
832,Gary,gary@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,Whatsapp,,Students,2024,Thane,7.4,3,0-2 Lakh,15,no
833,Teresa,teresa@xyz.com,1,Hello ML and DL,Attending,wilson college ,Youtube,,Students,2024,Navi Mumbai,9.2,4,0-2 Lakh,14,yes
834,Phillip,phillip@xyz.com,1,Hello ML and DL,Attending,dkte society's textile and engineering institute ichalkaranji,Cloud Counselage Website,,Students,2023,Nagpur,8.7,7,0-2 Lakh,5,no
835,Kevin,kevin@xyz.com,1,Hello ML and DL,Attending,g h raisoni institut of engineering and technology pune,Email,,Students,2024,Mahe,6.9,4,0-2 Lakh,20,no
836,Latonya,latonya@xyz.com,1,Hello ML and DL,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2023,Amer,6.5,5,0-2 Lakh,9,no 
837,Joseph,joseph@xyz.com,1,Hello ML and DL,Attending,st xavier's college ,Whatsapp,,Students,2024,Bikaner,6.9,5,0-2 Lakh,8,yes
838,Alma,alma@xyz.com,1,Hello ML and DL,Attending,"vidyalankar institute of technology, mumbai",Whatsapp | Others,,Students,2024,Jaipur,7.6,3,0-2 Lakh,6,no
839,Myrna,myrna@xyz.com,1,Hello ML and DL,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,,Students,2023,Jalor,6.5,3,0-2 Lakh,8,no
842,Joann,joann@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Cloud Counselage Website,,Students,2024,Pali,6.7,3,0-2 Lakh,23,no
843,Carol,carol@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Email,,Students,2023,Ahemdabad,7.2,5,0-2 Lakh,7,no
844,Ahmad,ahmad@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Youtube | Whatsapp,,Students,2024,Amreli,8.5,5,0-2 Lakh,5,no
846,Mark,mark@xyz.com,1,Hello ML and DL,Attending,"symbiosis institute of technology, pune",Whatsapp | Others,,Students,2023,Jamnagar,9.5,4,0-2 Lakh,18,no 
847,Adrianne,adrianne@xyz.com,1,Hello ML and DL,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2024,Nadiad,9.1,3,0-2 Lakh,9,no
848,Eric,eric@xyz.com,1,Hello ML and DL,Attending,dkte society's textile and engineering institute ichalkaranji,Cloud Counselage Website,,Students,2024,Navsari,7.6,5,0-2 Lakh,9,no
849,Lydia,lydia@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Surat,8.5,4,0-2 Lakh,11,no
850,Ronald,ronald@xyz.com,1,Hello ML and DL,Attending,don bosco college of engineering fatorda goa,Cloud Counselage Website,,Students,2023,Gurugram,8.5,3,0-2 Lakh,23,yes
851,Jo,jo@xyz.com,1,Hello ML and DL,Attending,pillai college of engineering new panvel,Email,,Students,2023,Hisar,9.1,5,0-2 Lakh,8,yes
853,Paul,paul@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Cloud Counselage Website,,Students,2023,Gonda,9.4,4,0-2 Lakh,6,no
855,Ramona,ramona@xyz.com,1,Hello ML and DL,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,,Students,2024,Gorakhpur,7.7,7,0-2 Lakh,17,no
856,Stephen,stephen@xyz.com,1,Hello ML and DL,Attending,"vishwakarma institute of technology, pune",Whatsapp,,Students,2023,Hamirpur,8.1,5,0-2 Lakh,19,no
857,Tiffany,tiffany@xyz.com,1,Hello ML and DL,Attending,"priyadarshini college of engineering, nagpur ",Facebook,,Students,2024,Budaun,7.1,7,0-2 Lakh,11,yes
858,Donald,donald@xyz.com,1,Hello ML and DL,Attending,st.francis institute of technology,Whatsapp,,Students,2023,Jhansi,8.3,3,0-2 Lakh,12,yes
860,Karen,karen@xyz.com,1,Hello ML and DL,Attending,"symbiosis institute of technology, pune",Others,,Students,2024,Mathura,6.5,7,0-2 Lakh,10,yes
861,Clarence,clarence@xyz.com,1,Hello ML and DL,Attending,"mit academy of engineering ,alandi",Instagram,,Students,2023,Mainpuri,9.4,5,0-2 Lakh,15,yes
862,Margaret,margaret@xyz.com,1,Hello ML and DL,Attending,a. c. patil college of engineering,Whatsapp,,Students,2024,Varanasi,6.8,5,0-2 Lakh,12,no
863,Lee,lee@xyz.com,1,Hello ML and DL,Attending,wilson college ,LinkedIn | Whatsapp,,Students,2023,Almora,6.7,7,0-2 Lakh,20,no
865,Arlene,arlene@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,,Students,2024,Haora,9.3,3,0-2 Lakh,9,yes
868,Hector,hector@xyz.com,1,Product Marketing,Attending,government polytechnic gandhinagar,Others,,Students,2023,Kolkata,8.3,7,0-2 Lakh,7,no
869,Floyd,floyd@xyz.com,1,Product Marketing,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Others,,Students,2024,Malda,7.2,7,0-2 Lakh,21,no
870,Ann,ann@xyz.com,1,Product Marketing,Attending,"vishwakarma institute of technology, pune",Others,,Students,2023,Palashi,8.1,3,0-2 Lakh,5,no
871,Jennifer,jennifer@xyz.com,1,Product Marketing,Attending,"kle society's college of bca, rls institute, belagavi",Cloud Counselage Website | Others,,Students,2024,Santipur,9.5,5,0-2 Lakh,16,yes
873,Tracey,tracey@xyz.com,1,Product Marketing,Attending,st.francis institute of technology,Cloud Counselage Website,,Students,2023,Silguri,7.5,3,0-2 Lakh,8,no 
875,Sarah,sarah@xyz.com,1,Product Marketing,Attending,"symbiosis institute of technology, pune",SPOC/ College Professor,,Students,2024,Talmuk,9.6,4,0-2 Lakh,9,yes
876,Aida,aida@xyz.com,1,Product Marketing,Attending,"mit academy of engineering ,alandi",Whatsapp | Email,,Students,2024,Siuri,9.1,7,0-2 Lakh,30,no
877,Douglas,douglas@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Whatsapp | SPOC/ College Professor,,Students,2023,Titagrah,7.3,5,0-2 Lakh,24,no
878,Lisa,lisa@xyz.com,1,Product Marketing,Attending,wilson college ,Cloud Counselage Website,,Students,2023,Orchha,7.5,4,0-2 Lakh,17,no
882,Jeremiah,jeremiah@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Whatsapp | Friend/ Classmate,,Students,2024,Vidisha,9.1,7,0-2 Lakh,30,no
883,Gene,gene@xyz.com,1,Product Marketing,Attending,adhiyamaan college of engineering,Whatsapp,,Students,2023,Bhandara,7.1,3,0-2 Lakh,25,yes
885,David,david@xyz.com,1,Product Marketing,Attending,pillai college of engineering new panvel,Friend/ Classmate | SPOC/ College Professor,,Students,2024,Bid,9.2,5,0-2 Lakh,30,no 
886,Brian,brian@xyz.com,1,Product Marketing,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,,Students,2023,Kalyan,7.8,5,0-2 Lakh,21,no
887,Chris,chris@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Whatsapp | SPOC/ College Professor,,Students,2023,Thane,9.1,5,0-2 Lakh,17,no
888,Ruth,ruth@xyz.com,1,Product Marketing,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,,Students,2024,Navi Mumbai,6.9,4,0-2 Lakh,18,no
889,Roxanna,roxanna@xyz.com,1,Product Marketing,Attending,don bosco college of engineering fatorda goa,Whatsapp,,Students,2023,Nanded,9.2,7,0-2 Lakh,30,no
890,Gregory,gregory@xyz.com,1,Product Marketing,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2024,Mahe,7.3,7,0-2 Lakh,8,no
891,Patrick,patrick@xyz.com,1,Product Marketing,Attending,st xavier's college ,Whatsapp,,Students,2023,Amritsar,7.9,7,0-2 Lakh,8,no
892,Raymond,raymond@xyz.com,1,Product Marketing,Attending,wilson college ,Whatsapp,,Students,2023,Ajmer,9.3,7,0-2 Lakh,21,yes
895,Charmaine,charmaine@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,,Students,2024,Bikaner,6.6,3,0-2 Lakh,11,yes
896,Augustine,augustine@xyz.com,1,Product Marketing,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Jaipur,7.8,7,0-2 Lakh,15,yes
897,Mac,mac@xyz.com,1,Product Marketing,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2023,Jalor,8.7,5,0-2 Lakh,19,no
899,Jean,jean@xyz.com,1,Product Marketing,Attending,st.francis institute of technology,Whatsapp,,Students,2023,Sikar,8.5,4,0-2 Lakh,9,no
900,Lori,lori@xyz.com,1,Product Marketing,Attending,late g. n. sapkal college of engineering,Whatsapp,,Students,2023,Amreli,9.7,7,0-2 Lakh,25,no
901,Jesus,jesus@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Cloud Counselage Website,,Students,2023,Navsari,9.1,4,0-2 Lakh,17,no
